season,week,dst_team,pro_team_id,dst_points,includes_return_td,rffl_team_code,lineup_slot
2025,1,WAS,28,8.0,False,PCX,D/ST
2025,1,MIN,16,4.0,False,GFM,D/ST
2025,1,PIT,23,3.0,False,MXLB,D/ST
2025,1,BUF,2,4.0,False,BRIM,D/ST
2025,1,BAL,33,1.0,False,TNT,D/ST
2025,1,HOU,34,5.0,False,JAGB,D/ST
2025,1,LAR,14,10.0,False,LNO,D/ST
2025,1,SEA,26,7.0,False,MRYJ,D/ST
2025,1,NE,17,6.0,False,WZRD,D/ST
2025,1,PHI,21,2.0,False,TACT,D/ST
2025,1,DEN,7,13.0,False,PKMC,D/ST
2025,2,SF,25,5.0,False,PCX,D/ST
2025,2,MIN,16,5.0,False,GFM,D/ST
2025,2,PIT,23,6.0,False,MXLB,D/ST
2025,2,BUF,2,9.0,False,BRIM,D/ST
2025,2,BAL,33,14.0,False,TNT,D/ST
2025,2,HOU,34,6.0,False,JAGB,D/ST
2025,2,GB,9,4.0,False,LNO,D/ST
2025,2,LAR,14,7.0,False,CHLK,D/ST
2025,2,ARI,22,13.0,False,MRYJ,D/ST
2025,2,NE,17,13.0,False,WZRD,D/ST
2025,2,PHI,21,4.0,False,TACT,D/ST
2025,2,DEN,7,1.0,False,PKMC,D/ST
2025,3,SEA,26,15.0,True,PCX,D/ST
2025,3,MIN,16,29.0,False,GFM,D/ST
2025,3,PIT,23,15.0,False,MXLB,D/ST
2025,3,BUF,2,2.0,False,BRIM,D/ST
2025,3,TB,27,14.0,False,TNT,D/ST
2025,3,HOU,34,4.0,False,JAGB,D/ST
2025,3,GB,9,7.0,False,LNO,D/ST
2025,3,KC,12,11.0,False,CHLK,D/ST
2025,3,LAC,24,2.0,False,MRYJ,D/ST
2025,3,NE,17,2.0,False,WZRD,D/ST
2025,3,PHI,21,13.0,False,TACT,D/ST
2025,3,DEN,7,9.0,False,PKMC,D/ST
2025,4,SEA,26,10.0,False,PCX,D/ST
2025,4,MIN,16,4.0,False,GFM,D/ST
2025,4,PIT,23,10.0,False,MXLB,D/ST
2025,4,BUF,2,5.0,False,BRIM,D/ST
2025,4,BAL,33,1.0,False,TNT,D/ST
2025,4,HOU,34,14.0,False,JAGB,D/ST
2025,4,GB,9,1.0,False,LNO,D/ST
2025,4,NE,17,10.0,True,CHLK,D/ST
2025,4,LAC,24,6.0,False,MRYJ,D/ST
2025,4,DET,8,18.0,True,WZRD,D/ST
2025,4,PHI,21,14.0,False,TACT,D/ST
2025,4,DEN,7,9.0,False,PKMC,D/ST
2025,5,SEA,26,1.0,False,PCX,D/ST
2025,5,MIN,16,2.0,False,GFM,D/ST
2025,5,ARI,22,6.0,False,MXLB,D/ST
2025,5,BUF,2,6.0,False,BRIM,D/ST
2025,5,BAL,33,2.0,False,TNT,D/ST
2025,5,HOU,34,10.0,False,JAGB,D/ST
2025,5,IND,11,16.0,False,LNO,D/ST
2025,5,CLE,5,7.0,False,CHLK,D/ST
2025,5,LAC,24,3.0,False,MRYJ,K
2025,5,JAX,30,8.0,False,MRYJ,D/ST
2025,5,DET,8,11.0,False,WZRD,D/ST
2025,5,PHI,21,2.0,False,TACT,D/ST
2025,5,DEN,7,6.0,False,PKMC,D/ST
2025,6,SEA,26,10.0,False,PCX,D/ST
2025,6,NE,17,4.0,False,GFM,D/ST
2025,6,LAR,14,16.0,False,MXLB,D/ST
2025,6,BUF,2,4.0,False,BRIM,D/ST
2025,6,PIT,23,9.0,False,TNT,D/ST
2025,6,LAC,24,8.0,False,JAGB,D/ST
2025,6,IND,11,4.0,False,LNO,D/ST
2025,6,JAX,30,1.0,False,MRYJ,D/ST
2025,6,GB,9,1.0,False,WZRD,D/ST
2025,6,PHI,21,2.0,False,TACT,D/ST
2025,6,DEN,7,12.0,False,PKMC,D/ST
2025,7,SEA,26,8.0,False,PCX,D/ST
2025,7,MIN,16,3.0,False,GFM,D/ST
2025,7,LAR,14,10.0,False,MXLB,D/ST
2025,7,ATL,1,3.0,False,BRIM,D/ST
2025,7,PIT,23,2.0,False,TNT,D/ST
2025,7,HOU,34,18.0,False,JAGB,D/ST
2025,7,LAC,24,1.0,False,JAGB,K
2025,7,NE,17,18.0,False,LNO,D/ST
2025,7,GB,9,8.0,False,CHLK,D/ST
2025,7,KC,12,13.0,False,MRYJ,D/ST
2025,7,CAR,29,16.0,False,WZRD,D/ST
2025,7,PHI,21,12.0,False,TACT,D/ST
2025,7,DEN,7,6.0,False,PKMC,D/ST
2025,8,CLE,5,10.0,False,PCX,D/ST
2025,8,MIN,16,4.0,False,GFM,D/ST
2025,8,TB,27,25.0,False,MXLB,D/ST
2025,8,ATL,1,1.0,False,BRIM,D/ST
2025,8,SF,25,2.0,False,TNT,D/ST
2025,8,HOU,34,4.0,False,JAGB,D/ST
2025,8,LAC,24,10.0,False,JAGB,K
2025,8,NE,17,11.0,False,LNO,D/ST
2025,8,KC,12,9.0,False,CHLK,D/ST
2025,8,IND,11,6.0,False,MRYJ,D/ST
2025,8,PHI,21,5.0,False,TACT,D/ST
2025,8,DEN,7,6.0,False,PKMC,D/ST
2025,9,SEA,26,8.0,False,PCX,D/ST
2025,9,MIN,16,9.0,False,GFM,D/ST
2025,9,LAR,14,8.0,False,MXLB,D/ST
2025,9,BAL,33,14.0,False,BRIM,D/ST
2025,9,CHI,3,9.0,False,TNT,D/ST
2025,9,HOU,34,7.0,False,JAGB,K
2025,9,LAC,24,4.0,False,JAGB,K
2025,9,DET,8,7.0,False,JAGB,D/ST
2025,9,NE,17,1.0,False,LNO,D/ST
2025,9,GB,9,3.0,False,LNO,K
2025,9,KC,12,3.0,False,CHLK,D/ST
2025,9,IND,11,5.0,False,MRYJ,D/ST
2025,9,JAX,30,4.0,False,WZRD,D/ST
2025,9,SF,25,2.0,False,TACT,D/ST
2025,9,DEN,7,4.0,False,PKMC,D/ST
2025,10,SEA,26,21.0,False,PCX,D/ST
2025,10,MIN,16,1.0,False,GFM,D/ST
2025,10,LAR,14,6.0,False,MXLB,D/ST
2025,10,BAL,33,7.0,False,BRIM,D/ST
2025,10,TB,27,3.0,False,TNT,D/ST
2025,10,HOU,34,15.0,False,JAGB,D/ST
2025,10,DET,8,2.0,False,JAGB,K
2025,10,NE,17,2.0,False,LNO,D/ST
2025,10,CLE,5,5.0,False,CHLK,D/ST
2025,10,CAR,29,4.0,False,MRYJ,D/ST
2025,10,JAX,30,12.0,True,WZRD,D/ST
2025,10,BUF,2,4.0,False,TACT,D/ST
2025,10,DEN,7,13.0,False,PKMC,D/ST
2025,11,SEA,26,2.0,False,PCX,D/ST
2025,11,MIN,16,2.0,False,GFM,D/ST
2025,11,LAR,14,8.0,False,MXLB,D/ST
2025,11,BAL,33,8.0,False,BRIM,D/ST
2025,11,DAL,6,9.0,False,TNT,D/ST
2025,11,HOU,34,8.0,False,JAGB,D/ST
2025,11,DET,8,1.0,False,JAGB,K
2025,11,NE,17,4.0,False,LNO,D/ST
2025,11,LAC,24,2.0,False,CHLK,D/ST
2025,11,PIT,23,20.0,False,MRYJ,D/ST
2025,11,ATL,1,5.0,False,WZRD,D/ST
2025,11,GB,9,6.0,False,TACT,D/ST
2025,11,DEN,7,7.0,False,PKMC,D/ST
2025,12,SEA,26,4.0,False,PCX,D/ST
2025,12,PHI,21,5.0,False,PCX,K
2025,12,MIN,16,1.0,False,GFM,D/ST
2025,12,LAR,14,17.0,False,MXLB,D/ST
2025,12,BAL,33,10.0,False,BRIM,D/ST
2025,12,CHI,3,6.0,False,TNT,D/ST
2025,12,HOU,34,14.0,False,JAGB,K
2025,12,DET,8,3.0,False,JAGB,D/ST
2025,12,NE,17,9.0,False,LNO,D/ST
2025,12,JAX,30,6.0,False,CHLK,D/ST
2025,12,PIT,23,11.0,False,MRYJ,D/ST
2025,12,ATL,1,15.0,False,WZRD,D/ST
2025,12,GB,9,17.0,False,TACT,D/ST
2025,12,CLE,5,15.0,False,PKMC,D/ST
2025,13,SEA,26,30.0,False,PCX,D/ST
2025,13,PHI,21,4.0,False,PCX,K
2025,13,MIN,16,6.0,False,GFM,D/ST
2025,13,LAR,14,2.0,False,MXLB,D/ST
2025,13,BAL,33,3.0,False,BRIM,D/ST
2025,13,LAC,24,7.0,False,TNT,D/ST
2025,13,HOU,34,1.0,False,JAGB,D/ST
2025,13,NE,17,10.0,True,LNO,D/ST
2025,13,MIA,15,8.0,False,CHLK,D/ST
2025,13,PIT,23,4.0,False,MRYJ,D/ST
2025,13,SF,25,10.0,False,MRYJ,K
2025,13,ATL,1,2.0,False,WZRD,D/ST
2025,13,GB,9,3.0,False,TACT,D/ST
2025,13,DEN,7,4.0,False,PKMC,D/ST
2025,13,CLE,5,1.0,False,PKMC,K
2025,14,SEA,26,18.0,False,PCX,K
2025,14,PHI,21,11.0,False,PCX,D/ST
2025,14,MIN,16,18.0,False,GFM,D/ST
2025,14,LAR,14,5.0,False,MXLB,D/ST
2025,14,TB,27,5.0,False,TNT,D/ST
2025,14,HOU,34,11.0,False,JAGB,D/ST
2025,14,DET,8,11.0,False,JAGB,K
2025,14,JAX,30,10.0,False,LNO,D/ST
2025,14,MIA,15,15.0,False,CHLK,D/ST
2025,14,PIT,23,4.0,False,MRYJ,D/ST
2025,14,WAS,28,4.0,False,WZRD,D/ST
2025,14,GB,9,3.0,False,TACT,D/ST
2025,14,DEN,7,10.0,True,PKMC,D/ST
2025,14,CLE,5,3.0,False,PKMC,K
2025,15,SEA,26,3.0,False,PCX,D/ST
2025,15,PHI,21,16.0,False,PCX,K
2025,15,MIN,16,2.0,False,GFM,D/ST
2025,15,KC,12,6.0,False,GFM,K
2025,15,LAR,14,1.0,False,MXLB,D/ST
2025,15,BAL,33,23.0,False,BRIM,D/ST
2025,15,TB,27,3.0,False,TNT,D/ST
2025,15,HOU,34,6.0,False,JAGB,D/ST
2025,15,DET,8,4.0,False,JAGB,K
2025,15,JAX,30,9.0,False,LNO,D/ST
2025,15,PIT,23,6.0,False,MRYJ,D/ST
2025,15,NYG,19,6.0,False,WZRD,D/ST
2025,15,GB,9,2.0,False,TACT,D/ST
2025,15,DEN,7,7.0,False,PKMC,D/ST
2025,15,CLE,5,3.0,False,PKMC,K
2025,16,SEA,26,6.0,True,PCX,K
2025,16,PHI,21,4.0,False,PCX,D/ST
2025,16,LAR,14,10.0,False,MXLB,D/ST
2025,16,GB,9,10.0,False,TACT,D/ST
